"student_id","first_name","last_name","email","department","Gender","Date of birth","phone number","program","academic year","current semester","CGPA","Expected Graduation Year"
"COMP-001","Abel","Tesfaye","abel.tesfaye@student.bdu.edu.et","Computer Science","Male","2002-04-09","+251901000001","Extension","2025/2026","3","2.63","2027"
"COMP-002","Hana","Getachew","hana.getachew@student.bdu.edu.et","Information Technology","Female","2003-05-10","+251901000002","Regular","2025/2026","4","2.70","2027"
"COMP-003","Kaleb","Mekonnen","kaleb.mekonnen@student.bdu.edu.et","Software Engineering","Male","2004-06-11","+251901000003","Summer","2025/2026","5","2.77","2027"
"COMP-004","Liya","Birhanu","liya.birhanu@student.bdu.edu.et","Information Systems","Female","2000-07-12","+251901000004","Extension","2025/2026","6","2.84","2027"
"COMP-005","Nahom","Alemu","nahom.alemu@student.bdu.edu.et","Cyber Security","Male","2001-08-13","+251901000005","Regular","2025/2026","7","2.91","2027"
"COMP-006","Selamawit","Yohannes","selamawit.yohannes@student.bdu.edu.et","Data Science","Female","2002-09-14","+251901000006","Summer","2025/2026","8","2.98","2027"
"COMP-007","Yared","Haile","yared.haile@student.bdu.edu.et","Computer Science","Male","2003-10-15","+251901000007","Extension","2025/2026","1","3.05","2027"
"COMP-008","Meklit","Tamiru","meklit.tamiru@student.bdu.edu.et","Information Technology","Female","2004-11-16","+251901000008","Regular","2025/2026","2","3.12","2027"
"COMP-009","Samuel","Desta","samuel.desta@student.bdu.edu.et","Software Engineering","Male","2000-12-17","+251901000009","Summer","2025/2026","3","3.19","2027"
"COMP-010","Rediet","Assefa","rediet.assefa@student.bdu.edu.et","Information Systems","Female","2001-01-18","+251901000010","Extension","2025/2026","4","3.26","2027"
"COMP-011","Robel","Fikadu","robel.fikadu@student.bdu.edu.et","Cyber Security","Male","2002-02-19","+251901000011","Regular","2025/2026","5","3.33","2027"
"COMP-012","Meron","Hailu","meron.hailu@student.bdu.edu.et","Data Science","Female","2003-03-20","+251901000012","Summer","2025/2026","6","3.40","2027"
"COMP-013","Bereket","Tadesse","bereket.tadesse@student.bdu.edu.et","Computer Science","Male","2004-04-01","+251901000013","Extension","2025/2026","7","3.47","2027"
"COMP-014","Ruth","Kebede","ruth.kebede@student.bdu.edu.et","Information Technology","Female","2000-05-02","+251901000014","Regular","2025/2026","8","3.54","2027"
"COMP-015","Henok","Girma","henok.girma@student.bdu.edu.et","Software Engineering","Male","2001-06-03","+251901000015","Summer","2025/2026","1","3.61","2027"
"COMP-016","Mahi","Solomon","mahi.solomon@student.bdu.edu.et","Information Systems","Female","2002-07-04","+251901000016","Extension","2025/2026","2","3.68","2027"
"COMP-017","Nardos","Tekle","nardos.tekle@student.bdu.edu.et","Cyber Security","Male","2003-08-05","+251901000017","Regular","2025/2026","3","3.75","2027"
"COMP-018","Biniyam","Worku","biniyam.worku@student.bdu.edu.et","Data Science","Female","2004-09-06","+251901000018","Summer","2025/2026","4","3.82","2027"
"COMP-019","Eyob","Negash","eyob.negash@student.bdu.edu.et","Computer Science","Male","2000-10-07","+251901000019","Extension","2025/2026","5","3.89","2027"
"COMP-020","Rahel","Belay","rahel.belay@student.bdu.edu.et","Information Technology","Female","2001-11-08","+251901000020","Regular","2025/2026","6","2.56","2027"
"COMP-021","Amanuel","Tilahun","amanuel.tilahun@student.bdu.edu.et","Software Engineering","Male","2002-12-09","+251901000021","Summer","2025/2026","7","2.63","2027"
"COMP-022","Hiwot","Melese","hiwot.melese@student.bdu.edu.et","Information Systems","Female","2003-01-10","+251901000022","Extension","2025/2026","8","2.70","2027"
"COMP-023","Kirubel","Zewdu","kirubel.zewdu@student.bdu.edu.et","Cyber Security","Male","2004-02-11","+251901000023","Regular","2025/2026","1","2.77","2027"
"COMP-024","Misrak","Amare","misrak.amare@student.bdu.edu.et","Data Science","Female","2000-03-12","+251901000024","Summer","2025/2026","2","2.84","2027"
"COMP-025","Elias","Alemayehu","elias.alemayehu@student.bdu.edu.et","Computer Science","Male","2001-04-13","+251901000025","Extension","2025/2026","3","2.91","2027"
"COMP-026","Blain","Tefera","blain.tefera@student.bdu.edu.et","Information Technology","Female","2002-05-14","+251901000026","Regular","2025/2026","4","2.98","2027"
"COMP-027","Michael","Zelalem","michael.zelalem@student.bdu.edu.et","Software Engineering","Male","2003-06-15","+251901000027","Summer","2025/2026","5","3.05","2027"
"COMP-028","Helen","Desalegn","helen.desalegn@student.bdu.edu.et","Information Systems","Female","2004-07-16","+251901000028","Extension","2025/2026","6","3.12","2027"
"COMP-029","Yonas","Samuel","yonas.samuel@student.bdu.edu.et","Cyber Security","Male","2000-08-17","+251901000029","Regular","2025/2026","7","3.19","2027"
"COMP-030","Betelhem","Mesfin","betelhem.mesfin@student.bdu.edu.et","Data Science","Female","2001-09-18","+251901000030","Summer","2025/2026","8","3.26","2027"
