"student_id","first_name","last_name","email","department","Gender","Date of birth","phone number","program","academic year","current semester","CGPA","Expected Graduation Year"
"MATS-001","Dagmawi","Ayele","dagmawi.ayele@student.bdu.edu.et","Materials Science","Male","2004-04-09","+251903000001","Summer","2025/2026","3","2.65","2027"
"MATS-002","Mahlet","Tamiru","mahlet.tamiru@student.bdu.edu.et","Metallurgical Engineering","Female","2000-05-10","+251903000002","Extension","2025/2026","4","2.72","2027"
"MATS-003","Natanim","Mulugeta","natanim.mulugeta@student.bdu.edu.et","Polymer Engineering","Male","2001-06-11","+251903000003","Regular","2025/2026","5","2.79","2027"
"MATS-004","Bethel","Girma","bethel.girma@student.bdu.edu.et","Ceramic Engineering","Female","2002-07-12","+251903000004","Summer","2025/2026","6","2.86","2027"
"MATS-005","Surafel","Wondimu","surafel.wondimu@student.bdu.edu.et","Nanomaterials Engineering","Male","2003-08-13","+251903000005","Extension","2025/2026","7","2.93","2027"
"MATS-006","Tsion","Demissie","tsion.demissie@student.bdu.edu.et","Materials Science","Female","2004-09-14","+251903000006","Regular","2025/2026","8","3.00","2027"
"MATS-007","Leul","Adane","leul.adane@student.bdu.edu.et","Metallurgical Engineering","Male","2000-10-15","+251903000007","Summer","2025/2026","1","3.07","2027"
"MATS-008","Eden","Tesfaye","eden.tesfaye@student.bdu.edu.et","Polymer Engineering","Female","2001-11-16","+251903000008","Extension","2025/2026","2","3.14","2027"
"MATS-009","Abel","Getachew","abel.getachew@student.bdu.edu.et","Ceramic Engineering","Male","2002-12-17","+251903000009","Regular","2025/2026","3","3.21","2027"
"MATS-010","Hana","Mekonnen","hana.mekonnen@student.bdu.edu.et","Nanomaterials Engineering","Female","2003-01-18","+251903000010","Summer","2025/2026","4","3.28","2027"
"MATS-011","Kaleb","Birhanu","kaleb.birhanu@student.bdu.edu.et","Materials Science","Male","2004-02-19","+251903000011","Extension","2025/2026","5","3.35","2027"
"MATS-012","Liya","Alemu","liya.alemu@student.bdu.edu.et","Metallurgical Engineering","Female","2000-03-20","+251903000012","Regular","2025/2026","6","3.42","2027"
"MATS-013","Nahom","Yohannes","nahom.yohannes@student.bdu.edu.et","Polymer Engineering","Male","2001-04-01","+251903000013","Summer","2025/2026","7","3.49","2027"
"MATS-014","Selamawit","Haile","selamawit.haile@student.bdu.edu.et","Ceramic Engineering","Female","2002-05-02","+251903000014","Extension","2025/2026","8","3.56","2027"
"MATS-015","Yared","Tamiru","yared.tamiru@student.bdu.edu.et","Nanomaterials Engineering","Male","2003-06-03","+251903000015","Regular","2025/2026","1","3.63","2027"
"MATS-016","Meklit","Desta","meklit.desta@student.bdu.edu.et","Materials Science","Female","2004-07-04","+251903000016","Summer","2025/2026","2","3.70","2027"
"MATS-017","Samuel","Assefa","samuel.assefa@student.bdu.edu.et","Metallurgical Engineering","Male","2000-08-05","+251903000017","Extension","2025/2026","3","3.77","2027"
"MATS-018","Rediet","Fikadu","rediet.fikadu@student.bdu.edu.et","Polymer Engineering","Female","2001-09-06","+251903000018","Regular","2025/2026","4","3.84","2027"
"MATS-019","Robel","Hailu","robel.hailu@student.bdu.edu.et","Ceramic Engineering","Male","2002-10-07","+251903000019","Summer","2025/2026","5","3.91","2027"
"MATS-020","Meron","Tadesse","meron.tadesse@student.bdu.edu.et","Nanomaterials Engineering","Female","2003-11-08","+251903000020","Extension","2025/2026","6","2.58","2027"
"MATS-021","Bereket","Kebede","bereket.kebede@student.bdu.edu.et","Materials Science","Male","2004-12-09","+251903000021","Regular","2025/2026","7","2.65","2027"
"MATS-022","Ruth","Girma","ruth.girma@student.bdu.edu.et","Metallurgical Engineering","Female","2000-01-10","+251903000022","Summer","2025/2026","8","2.72","2027"
"MATS-023","Henok","Solomon","henok.solomon@student.bdu.edu.et","Polymer Engineering","Male","2001-02-11","+251903000023","Extension","2025/2026","1","2.79","2027"
"MATS-024","Mahi","Tekle","mahi.tekle@student.bdu.edu.et","Ceramic Engineering","Female","2002-03-12","+251903000024","Regular","2025/2026","2","2.86","2027"
"MATS-025","Nardos","Worku","nardos.worku@student.bdu.edu.et","Nanomaterials Engineering","Male","2003-04-13","+251903000025","Summer","2025/2026","3","2.93","2027"
"MATS-026","Biniyam","Negash","biniyam.negash@student.bdu.edu.et","Materials Science","Female","2004-05-14","+251903000026","Extension","2025/2026","4","3.00","2027"
"MATS-027","Rahel","Belay","rahel.belay@student.bdu.edu.et","Metallurgical Engineering","Male","2000-06-15","+251903000027","Regular","2025/2026","5","3.07","2027"
"MATS-028","Filimon","Arega","filimon.arega@student.bdu.edu.et","Polymer Engineering","Female","2001-07-16","+251903000028","Summer","2025/2026","6","3.14","2027"
"MATS-029","Amanuel","Tilahun","amanuel.tilahun@student.bdu.edu.et","Ceramic Engineering","Male","2002-08-17","+251903000029","Extension","2025/2026","7","3.21","2027"
"MATS-030","Hiwot","Melese","hiwot.melese@student.bdu.edu.et","Nanomaterials Engineering","Female","2003-09-18","+251903000030","Regular","2025/2026","8","3.28","2027"
