"student_id","first_name","last_name","email","department","Gender","Date of birth","phone number","program","academic year","current semester","CGPA","Expected Graduation Year"
"CHEM-001","Nardos","Tekle","nardos.tekle@student.bdu.edu.et","Chemical Engineering","Male","2000-04-09","+251904000001","Extension","2025/2026","3","2.66","2027"
"CHEM-002","Biniyam","Worku","biniyam.worku@student.bdu.edu.et","Food Engineering","Female","2001-05-10","+251904000002","Regular","2025/2026","4","2.73","2027"
"CHEM-003","Meron","Hailu","meron.hailu@student.bdu.edu.et","Biochemical Engineering","Male","2002-06-11","+251904000003","Summer","2025/2026","5","2.80","2027"
"CHEM-004","Eyob","Negash","eyob.negash@student.bdu.edu.et","Process Engineering","Female","2003-07-12","+251904000004","Extension","2025/2026","6","2.87","2027"
"CHEM-005","Rahel","Belay","rahel.belay@student.bdu.edu.et","Environmental Engineering","Male","2004-08-13","+251904000005","Regular","2025/2026","7","2.94","2027"
"CHEM-006","Filimon","Arega","filimon.arega@student.bdu.edu.et","Chemical Engineering","Female","2000-09-14","+251904000006","Summer","2025/2026","8","3.01","2027"
"CHEM-007","Eyerusalem","Sisay","eyerusalem.sisay@student.bdu.edu.et","Food Engineering","Male","2001-10-15","+251904000007","Extension","2025/2026","1","3.08","2027"
"CHEM-008","Amanuel","Tilahun","amanuel.tilahun@student.bdu.edu.et","Biochemical Engineering","Female","2002-11-16","+251904000008","Regular","2025/2026","2","3.15","2027"
"CHEM-009","Hiwot","Melese","hiwot.melese@student.bdu.edu.et","Process Engineering","Male","2003-12-17","+251904000009","Summer","2025/2026","3","3.22","2027"
"CHEM-010","Kirubel","Zewdu","kirubel.zewdu@student.bdu.edu.et","Environmental Engineering","Female","2004-01-18","+251904000010","Extension","2025/2026","4","3.29","2027"
"CHEM-011","Misrak","Amare","misrak.amare@student.bdu.edu.et","Chemical Engineering","Male","2000-02-19","+251904000011","Regular","2025/2026","5","3.36","2027"
"CHEM-012","Temesgen","Tadesse","temesgen.tadesse@student.bdu.edu.et","Food Engineering","Female","2001-03-20","+251904000012","Summer","2025/2026","6","3.43","2027"
"CHEM-013","Saron","Bekele","saron.bekele@student.bdu.edu.et","Biochemical Engineering","Male","2002-04-01","+251904000013","Extension","2025/2026","7","3.50","2027"
"CHEM-014","Dawit","Mengistu","dawit.mengistu@student.bdu.edu.et","Process Engineering","Female","2003-05-02","+251904000014","Regular","2025/2026","8","3.57","2027"
"CHEM-015","Elias","Alemayehu","elias.alemayehu@student.bdu.edu.et","Environmental Engineering","Male","2004-06-03","+251904000015","Summer","2025/2026","1","3.64","2027"
"CHEM-016","Blain","Tefera","blain.tefera@student.bdu.edu.et","Chemical Engineering","Female","2000-07-04","+251904000016","Extension","2025/2026","2","3.71","2027"
"CHEM-017","Michael","Zelalem","michael.zelalem@student.bdu.edu.et","Food Engineering","Male","2001-08-05","+251904000017","Regular","2025/2026","3","3.78","2027"
"CHEM-018","Rediet","Kassahun","rediet.kassahun@student.bdu.edu.et","Biochemical Engineering","Female","2002-09-06","+251904000018","Summer","2025/2026","4","3.85","2027"
"CHEM-019","Abenezer","Shiferaw","abenezer.shiferaw@student.bdu.edu.et","Process Engineering","Male","2003-10-07","+251904000019","Extension","2025/2026","5","3.92","2027"
"CHEM-020","Helen","Desalegn","helen.desalegn@student.bdu.edu.et","Environmental Engineering","Female","2004-11-08","+251904000020","Regular","2025/2026","6","2.59","2027"
"CHEM-021","Yeabsira","Taye","yeabsira.taye@student.bdu.edu.et","Chemical Engineering","Male","2000-12-09","+251904000021","Summer","2025/2026","7","2.66","2027"
"CHEM-022","Marta","Daniel","marta.daniel@student.bdu.edu.et","Food Engineering","Female","2001-01-10","+251904000022","Extension","2025/2026","8","2.73","2027"
"CHEM-023","Ermias","Habtamu","ermias.habtamu@student.bdu.edu.et","Biochemical Engineering","Male","2002-02-11","+251904000023","Regular","2025/2026","1","2.80","2027"
"CHEM-024","Lidya","Mintesnot","lidya.mintesnot@student.bdu.edu.et","Process Engineering","Female","2003-03-12","+251904000024","Summer","2025/2026","2","2.87","2027"
"CHEM-025","Ezra","Bisrat","ezra.bisrat@student.bdu.edu.et","Environmental Engineering","Male","2004-04-13","+251904000025","Extension","2025/2026","3","2.94","2027"
"CHEM-026","Naomi","Henok","naomi.henok@student.bdu.edu.et","Chemical Engineering","Female","2000-05-14","+251904000026","Regular","2025/2026","4","3.01","2027"
"CHEM-027","Yonas","Samuel","yonas.samuel@student.bdu.edu.et","Food Engineering","Male","2001-06-15","+251904000027","Summer","2025/2026","5","3.08","2027"
"CHEM-028","Betelhem","Mesfin","betelhem.mesfin@student.bdu.edu.et","Biochemical Engineering","Female","2002-07-16","+251904000028","Extension","2025/2026","6","3.15","2027"
"CHEM-029","Abel","Tesfaye","abel.tesfaye@student.bdu.edu.et","Process Engineering","Male","2003-08-17","+251904000029","Regular","2025/2026","7","3.22","2027"
"CHEM-030","Hana","Getachew","hana.getachew@student.bdu.edu.et","Environmental Engineering","Female","2004-09-18","+251904000030","Summer","2025/2026","8","3.29","2027"
