"student_id","first_name","last_name","email","department","Gender","Date of birth","phone number","program","academic year","current semester","CGPA","Expected Graduation Year"
"ELEC-001","Amanuel","Tilahun","amanuel.tilahun@student.bdu.edu.et","Electrical Engineering","Male","2001-04-09","+251905000001","Regular","2025/2026","3","2.67","2027"
"ELEC-002","Hiwot","Melese","hiwot.melese@student.bdu.edu.et","Computer Engineering","Female","2002-05-10","+251905000002","Summer","2025/2026","4","2.74","2027"
"ELEC-003","Kirubel","Zewdu","kirubel.zewdu@student.bdu.edu.et","Electronics Engineering","Male","2003-06-11","+251905000003","Extension","2025/2026","5","2.81","2027"
"ELEC-004","Misrak","Amare","misrak.amare@student.bdu.edu.et","Power Engineering","Female","2004-07-12","+251905000004","Regular","2025/2026","6","2.88","2027"
"ELEC-005","Temesgen","Tadesse","temesgen.tadesse@student.bdu.edu.et","Communication Engineering","Male","2000-08-13","+251905000005","Summer","2025/2026","7","2.95","2027"
"ELEC-006","Saron","Bekele","saron.bekele@student.bdu.edu.et","Computer Engineering","Female","2001-09-14","+251905000006","Extension","2025/2026","8","3.02","2027"
"ELEC-007","Dawit","Mengistu","dawit.mengistu@student.bdu.edu.et","Electrical Engineering","Male","2002-10-15","+251905000007","Regular","2025/2026","1","3.09","2027"
"ELEC-008","Elias","Alemayehu","elias.alemayehu@student.bdu.edu.et","Electronics Engineering","Female","2003-11-16","+251905000008","Summer","2025/2026","2","3.16","2027"
"ELEC-009","Blain","Tefera","blain.tefera@student.bdu.edu.et","Power Engineering","Male","2004-12-17","+251905000009","Extension","2025/2026","3","3.23","2027"
"ELEC-010","Michael","Zelalem","michael.zelalem@student.bdu.edu.et","Communication Engineering","Female","2000-01-18","+251905000010","Regular","2025/2026","4","3.30","2027"
"ELEC-011","Rediet","Kassahun","rediet.kassahun@student.bdu.edu.et","Electrical Engineering","Male","2001-02-19","+251905000011","Summer","2025/2026","5","3.37","2027"
"ELEC-012","Abenezer","Shiferaw","abenezer.shiferaw@student.bdu.edu.et","Computer Engineering","Female","2002-03-20","+251905000012","Extension","2025/2026","6","3.44","2027"
"ELEC-013","Helen","Desalegn","helen.desalegn@student.bdu.edu.et","Electronics Engineering","Male","2003-04-01","+251905000013","Regular","2025/2026","7","3.51","2027"
"ELEC-014","Yeabsira","Taye","yeabsira.taye@student.bdu.edu.et","Power Engineering","Female","2004-05-02","+251905000014","Summer","2025/2026","8","3.58","2027"
"ELEC-015","Marta","Daniel","marta.daniel@student.bdu.edu.et","Communication Engineering","Male","2000-06-03","+251905000015","Extension","2025/2026","1","3.65","2027"
"ELEC-016","Ermias","Habtamu","ermias.habtamu@student.bdu.edu.et","Electrical Engineering","Female","2001-07-04","+251905000016","Regular","2025/2026","2","3.72","2027"
"ELEC-017","Lidya","Mintesnot","lidya.mintesnot@student.bdu.edu.et","Computer Engineering","Male","2002-08-05","+251905000017","Summer","2025/2026","3","3.79","2027"
"ELEC-018","Ezra","Bisrat","ezra.bisrat@student.bdu.edu.et","Electronics Engineering","Female","2003-09-06","+251905000018","Extension","2025/2026","4","3.86","2027"
"ELEC-019","Naomi","Henok","naomi.henok@student.bdu.edu.et","Power Engineering","Male","2004-10-07","+251905000019","Regular","2025/2026","5","3.93","2027"
"ELEC-020","Yonas","Samuel","yonas.samuel@student.bdu.edu.et","Communication Engineering","Female","2000-11-08","+251905000020","Summer","2025/2026","6","2.60","2027"
"ELEC-021","Betelhem","Mesfin","betelhem.mesfin@student.bdu.edu.et","Electrical Engineering","Male","2001-12-09","+251905000021","Extension","2025/2026","7","2.67","2027"
"ELEC-022","Abel","Tesfaye","abel.tesfaye@student.bdu.edu.et","Computer Engineering","Female","2002-01-10","+251905000022","Regular","2025/2026","8","2.74","2027"
"ELEC-023","Hana","Getachew","hana.getachew@student.bdu.edu.et","Electronics Engineering","Male","2003-02-11","+251905000023","Summer","2025/2026","1","2.81","2027"
"ELEC-024","Kaleb","Mekonnen","kaleb.mekonnen@student.bdu.edu.et","Power Engineering","Female","2004-03-12","+251905000024","Extension","2025/2026","2","2.88","2027"
"ELEC-025","Liya","Birhanu","liya.birhanu@student.bdu.edu.et","Communication Engineering","Male","2000-04-13","+251905000025","Regular","2025/2026","3","2.95","2027"
"ELEC-026","Nahom","Alemu","nahom.alemu@student.bdu.edu.et","Electrical Engineering","Female","2001-05-14","+251905000026","Summer","2025/2026","4","3.02","2027"
"ELEC-027","Selamawit","Yohannes","selamawit.yohannes@student.bdu.edu.et","Computer Engineering","Male","2002-06-15","+251905000027","Extension","2025/2026","5","3.09","2027"
"ELEC-028","Yared","Haile","yared.haile@student.bdu.edu.et","Electronics Engineering","Female","2003-07-16","+251905000028","Regular","2025/2026","6","3.16","2027"
"ELEC-029","Meklit","Tamiru","meklit.tamiru@student.bdu.edu.et","Power Engineering","Male","2004-08-17","+251905000029","Summer","2025/2026","7","3.23","2027"
"ELEC-030","Samuel","Desta","samuel.desta@student.bdu.edu.et","Communication Engineering","Female","2000-09-18","+251905000030","Extension","2025/2026","8","3.30","2027"
