"student_id","first_name","last_name","email","department","Gender","Date of birth","phone number","program","academic year","current semester","CGPA","Expected Graduation Year"
"CIVL-001","Elias","Alemayehu","elias.alemayehu@student.bdu.edu.et","Civil Engineering","Male","2002-04-09","+251906000001","Summer","2025/2026","3","2.68","2027"
"CIVL-002","Blain","Tefera","blain.tefera@student.bdu.edu.et","Water Resources Engineering","Female","2003-05-10","+251906000002","Extension","2025/2026","4","2.75","2027"
"CIVL-003","Michael","Zelalem","michael.zelalem@student.bdu.edu.et","Hydraulic Engineering","Male","2004-06-11","+251906000003","Regular","2025/2026","5","2.82","2027"
"CIVL-004","Rediet","Kassahun","rediet.kassahun@student.bdu.edu.et","Construction Technology","Female","2000-07-12","+251906000004","Summer","2025/2026","6","2.89","2027"
"CIVL-005","Abenezer","Shiferaw","abenezer.shiferaw@student.bdu.edu.et","Structural Engineering","Male","2001-08-13","+251906000005","Extension","2025/2026","7","2.96","2027"
"CIVL-006","Helen","Desalegn","helen.desalegn@student.bdu.edu.et","Civil Engineering","Female","2002-09-14","+251906000006","Regular","2025/2026","8","3.03","2027"
"CIVL-007","Yeabsira","Taye","yeabsira.taye@student.bdu.edu.et","Water Resources Engineering","Male","2003-10-15","+251906000007","Summer","2025/2026","1","3.10","2027"
"CIVL-008","Marta","Daniel","marta.daniel@student.bdu.edu.et","Hydraulic Engineering","Female","2004-11-16","+251906000008","Extension","2025/2026","2","3.17","2027"
"CIVL-009","Ermias","Habtamu","ermias.habtamu@student.bdu.edu.et","Construction Technology","Male","2000-12-17","+251906000009","Regular","2025/2026","3","3.24","2027"
"CIVL-010","Lidya","Mintesnot","lidya.mintesnot@student.bdu.edu.et","Structural Engineering","Female","2001-01-18","+251906000010","Summer","2025/2026","4","3.31","2027"
"CIVL-011","Ezra","Bisrat","ezra.bisrat@student.bdu.edu.et","Civil Engineering","Male","2002-02-19","+251906000011","Extension","2025/2026","5","3.38","2027"
"CIVL-012","Naomi","Henok","naomi.henok@student.bdu.edu.et","Water Resources Engineering","Female","2003-03-20","+251906000012","Regular","2025/2026","6","3.45","2027"
"CIVL-013","Yonas","Samuel","yonas.samuel@student.bdu.edu.et","Hydraulic Engineering","Male","2004-04-01","+251906000013","Summer","2025/2026","7","3.52","2027"
"CIVL-014","Betelhem","Mesfin","betelhem.mesfin@student.bdu.edu.et","Construction Technology","Female","2000-05-02","+251906000014","Extension","2025/2026","8","3.59","2027"
"CIVL-015","Abel","Tesfaye","abel.tesfaye@student.bdu.edu.et","Structural Engineering","Male","2001-06-03","+251906000015","Regular","2025/2026","1","3.66","2027"
"CIVL-016","Hana","Getachew","hana.getachew@student.bdu.edu.et","Civil Engineering","Female","2002-07-04","+251906000016","Summer","2025/2026","2","3.73","2027"
"CIVL-017","Kaleb","Mekonnen","kaleb.mekonnen@student.bdu.edu.et","Water Resources Engineering","Male","2003-08-05","+251906000017","Extension","2025/2026","3","3.80","2027"
"CIVL-018","Liya","Birhanu","liya.birhanu@student.bdu.edu.et","Hydraulic Engineering","Female","2004-09-06","+251906000018","Regular","2025/2026","4","3.87","2027"
"CIVL-019","Nahom","Alemu","nahom.alemu@student.bdu.edu.et","Construction Technology","Male","2000-10-07","+251906000019","Summer","2025/2026","5","3.94","2027"
"CIVL-020","Selamawit","Yohannes","selamawit.yohannes@student.bdu.edu.et","Structural Engineering","Female","2001-11-08","+251906000020","Extension","2025/2026","6","2.61","2027"
"CIVL-021","Yared","Haile","yared.haile@student.bdu.edu.et","Civil Engineering","Male","2002-12-09","+251906000021","Regular","2025/2026","7","2.68","2027"
"CIVL-022","Meklit","Tamiru","meklit.tamiru@student.bdu.edu.et","Water Resources Engineering","Female","2003-01-10","+251906000022","Summer","2025/2026","8","2.75","2027"
"CIVL-023","Samuel","Desta","samuel.desta@student.bdu.edu.et","Hydraulic Engineering","Male","2004-02-11","+251906000023","Extension","2025/2026","1","2.82","2027"
"CIVL-024","Rediet","Assefa","rediet.assefa@student.bdu.edu.et","Construction Technology","Female","2000-03-12","+251906000024","Regular","2025/2026","2","2.89","2027"
"CIVL-025","Robel","Fikadu","robel.fikadu@student.bdu.edu.et","Structural Engineering","Male","2001-04-13","+251906000025","Summer","2025/2026","3","2.96","2027"
"CIVL-026","Meron","Hailu","meron.hailu@student.bdu.edu.et","Civil Engineering","Female","2002-05-14","+251906000026","Extension","2025/2026","4","3.03","2027"
"CIVL-027","Bereket","Tadesse","bereket.tadesse@student.bdu.edu.et","Water Resources Engineering","Male","2003-06-15","+251906000027","Regular","2025/2026","5","3.10","2027"
"CIVL-028","Ruth","Kebede","ruth.kebede@student.bdu.edu.et","Hydraulic Engineering","Female","2004-07-16","+251906000028","Summer","2025/2026","6","3.17","2027"
"CIVL-029","Henok","Girma","henok.girma@student.bdu.edu.et","Construction Technology","Male","2000-08-17","+251906000029","Extension","2025/2026","7","3.24","2027"
"CIVL-030","Mahi","Solomon","mahi.solomon@student.bdu.edu.et","Structural Engineering","Female","2001-09-18","+251906000030","Regular","2025/2026","8","3.31","2027"
