"student_id","first_name","last_name","email","department","Gender","Date of birth","phone number","program","academic year","current semester","CGPA","Expected Graduation Year"
"AERO-001","Marta","Daniel","marta.daniel@student.bdu.edu.et","Aerospace Engineering","Male","2003-04-09","+251907000001","Extension","2025/2026","3","2.69","2027"
"AERO-002","Ermias","Habtamu","ermias.habtamu@student.bdu.edu.et","Aeronautical Engineering","Female","2004-05-10","+251907000002","Regular","2025/2026","4","2.76","2027"
"AERO-003","Lidya","Mintesnot","lidya.mintesnot@student.bdu.edu.et","Avionics Engineering","Male","2000-06-11","+251907000003","Summer","2025/2026","5","2.83","2027"
"AERO-004","Ezra","Bisrat","ezra.bisrat@student.bdu.edu.et","Propulsion Engineering","Female","2001-07-12","+251907000004","Extension","2025/2026","6","2.90","2027"
"AERO-005","Naomi","Henok","naomi.henok@student.bdu.edu.et","Flight Systems Engineering","Male","2002-08-13","+251907000005","Regular","2025/2026","7","2.97","2027"
"AERO-006","Yonas","Samuel","yonas.samuel@student.bdu.edu.et","Aerospace Engineering","Female","2003-09-14","+251907000006","Summer","2025/2026","8","3.04","2027"
"AERO-007","Betelhem","Mesfin","betelhem.mesfin@student.bdu.edu.et","Aeronautical Engineering","Male","2004-10-15","+251907000007","Extension","2025/2026","1","3.11","2027"
"AERO-008","Abel","Tesfaye","abel.tesfaye@student.bdu.edu.et","Avionics Engineering","Female","2000-11-16","+251907000008","Regular","2025/2026","2","3.18","2027"
"AERO-009","Hana","Getachew","hana.getachew@student.bdu.edu.et","Propulsion Engineering","Male","2001-12-17","+251907000009","Summer","2025/2026","3","3.25","2027"
"AERO-010","Kaleb","Mekonnen","kaleb.mekonnen@student.bdu.edu.et","Flight Systems Engineering","Female","2002-01-18","+251907000010","Extension","2025/2026","4","3.32","2027"
"AERO-011","Liya","Birhanu","liya.birhanu@student.bdu.edu.et","Aerospace Engineering","Male","2003-02-19","+251907000011","Regular","2025/2026","5","3.39","2027"
"AERO-012","Nahom","Alemu","nahom.alemu@student.bdu.edu.et","Aeronautical Engineering","Female","2004-03-20","+251907000012","Summer","2025/2026","6","3.46","2027"
"AERO-013","Selamawit","Yohannes","selamawit.yohannes@student.bdu.edu.et","Avionics Engineering","Male","2000-04-01","+251907000013","Extension","2025/2026","7","3.53","2027"
"AERO-014","Yared","Haile","yared.haile@student.bdu.edu.et","Propulsion Engineering","Female","2001-05-02","+251907000014","Regular","2025/2026","8","3.60","2027"
"AERO-015","Meklit","Tamiru","meklit.tamiru@student.bdu.edu.et","Flight Systems Engineering","Male","2002-06-03","+251907000015","Summer","2025/2026","1","3.67","2027"
"AERO-016","Samuel","Desta","samuel.desta@student.bdu.edu.et","Aerospace Engineering","Female","2003-07-04","+251907000016","Extension","2025/2026","2","3.74","2027"
"AERO-017","Rediet","Assefa","rediet.assefa@student.bdu.edu.et","Aeronautical Engineering","Male","2004-08-05","+251907000017","Regular","2025/2026","3","3.81","2027"
"AERO-018","Robel","Fikadu","robel.fikadu@student.bdu.edu.et","Avionics Engineering","Female","2000-09-06","+251907000018","Summer","2025/2026","4","3.88","2027"
"AERO-019","Meron","Hailu","meron.hailu@student.bdu.edu.et","Propulsion Engineering","Male","2001-10-07","+251907000019","Extension","2025/2026","5","2.55","2027"
"AERO-020","Bereket","Tadesse","bereket.tadesse@student.bdu.edu.et","Flight Systems Engineering","Female","2002-11-08","+251907000020","Regular","2025/2026","6","2.62","2027"
"AERO-021","Ruth","Kebede","ruth.kebede@student.bdu.edu.et","Aerospace Engineering","Male","2003-12-09","+251907000021","Summer","2025/2026","7","2.69","2027"
"AERO-022","Henok","Girma","henok.girma@student.bdu.edu.et","Aeronautical Engineering","Female","2004-01-10","+251907000022","Extension","2025/2026","8","2.76","2027"
"AERO-023","Mahi","Solomon","mahi.solomon@student.bdu.edu.et","Avionics Engineering","Male","2000-02-11","+251907000023","Regular","2025/2026","1","2.83","2027"
"AERO-024","Nardos","Tekle","nardos.tekle@student.bdu.edu.et","Propulsion Engineering","Female","2001-03-12","+251907000024","Summer","2025/2026","2","2.90","2027"
"AERO-025","Biniyam","Worku","biniyam.worku@student.bdu.edu.et","Flight Systems Engineering","Male","2002-04-13","+251907000025","Extension","2025/2026","3","2.97","2027"
"AERO-026","Eyob","Negash","eyob.negash@student.bdu.edu.et","Aerospace Engineering","Female","2003-05-14","+251907000026","Regular","2025/2026","4","3.04","2027"
"AERO-027","Rahel","Belay","rahel.belay@student.bdu.edu.et","Aeronautical Engineering","Male","2004-06-15","+251907000027","Summer","2025/2026","5","3.11","2027"
"AERO-028","Filimon","Arega","filimon.arega@student.bdu.edu.et","Avionics Engineering","Female","2000-07-16","+251907000028","Extension","2025/2026","6","3.18","2027"
"AERO-029","Amanuel","Tilahun","amanuel.tilahun@student.bdu.edu.et","Propulsion Engineering","Male","2001-08-17","+251907000029","Regular","2025/2026","7","3.25","2027"
"AERO-030","Hiwot","Melese","hiwot.melese@student.bdu.edu.et","Flight Systems Engineering","Female","2002-09-18","+251907000030","Summer","2025/2026","8","3.32","2027"
